country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
sweden,SWE,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,100,100,0.8,85.8,0.8,11.9,43.6,54,68.9,1428,206
switzerland,CHE,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,106,106,1.2,73.9,1.1,11.7,32.5,74,31.6,552,126
syrian arab republic,SYR,185180,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30,49.3,65,68,-2.3,57.7,1.4,3.3,13.2,132,2.7,237,24
tajikistan,TJK,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,155,172,2.2,26.8,2.6,6.9,19,45,3,76,14
thailand,THA,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,129,126,0.4,50.4,3,4.1,4.9,611,32,3338,83
"macedonia, the former yugoslav republic of",MKD,25713,2083,82.6,100,10052,3.8,4836.1,12,27.9,65.1,111,112,0.1,57.1,0.1,6.5,31.7,110,39.6,53,53
timor-leste,TLS,14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,111,117,2.2,32.8,3.8,1.5,38.5,24,46.9,143,7
togo,TGO,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,140,143,2.6,40,3.8,5.2,17.6,80,3.8,111,20
tokelau,TKL,12,1,130,100,,,,,,,112,112,1.9,0,0,,,49,0,,
tonga,TON,747,108,150,100.7,402,3.8,3784.5,22.4,21.5,56.1,134,134,0.4,23.7,0.7,5.2,3.8,79,12.5,0,15
trinidad and tobago,TTO,5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57,95,95,0.5,8.4,-1.2,5.9,31,69,45.4,1663,607
tunisia,TUN,163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,108,108,1.2,66.8,1.4,7,31.3,96,6.6,274,39
turkey,TUR,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,120,122,1.6,73.4,2,5.4,14.9,388,15.1,1303,65
