country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
guinea-bissau,GNB,36125,1861,66.2,96.9,978,4.8,530,45,14.5,40.5,137,138,2.6,49.3,4.1,5.6,13.7,77,70.5,25,17
guinea,GIN,245857,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,47.4,130,131,2.3,37.2,3.8,5.6,21.9,185,26,113,12
guyana,GUY,214969,778,4,101.9,3282,3.1,4278.8,17.6,31.7,50.6,142,143,0.6,28.6,0.8,5.2,31.9,94,84,7,46
haiti,HTI,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,163,166,1.4,58.6,3.8,7.6,2.6,205,3.5,136,16
holy see,VAT,,1,1800,219.2,,,,,,,,,,100,,,,1,,,
honduras,HND,112492,9265,82.8,99.4,20365,3.6,2521.9,13,25.1,61.9,122,119,1.8,54.7,3.1,8.7,25.8,301,42.1,105,28
hungary,HUN,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64,99,99,-0.3,71.2,0.5,7.4,10.1,66,22.8,423,97
iceland,ISL,103000,335,3.3,100.7,16780,4.2,50936,6.4,24,69.7,117,117,0.6,94.1,1.3,8.9,47.6,27,0.5,284,952
india,IND,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,143,142,1.2,32.7,2.4,4.7,11.8,1052,23.7,23103,27
indonesia,IDN,1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,139,140,1.2,53.7,2.7,2.8,19.8,1281,50.6,19481,35
iran,IRN,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,106,107,1.2,73.4,2.1,7.5,5.9,134,6.6,13291,127
iraq,IRQ,435052,38275,88.1,102.5,164234,-2.4,4509,4.6,58,37.4,123,123,3.2,69.5,3,5.5,25.3,72,1.9,6744,58
ireland,IRL,69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,102,102,0.3,63.2,1.6,7.8,22.2,50,10.9,84,114
isle of man,IMN,572,84,147.9,98.2,,,,,,,,,0.8,52.2,0.8,,,3,6.1,0,3
israel,ISR,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,112,112,1.6,92.1,1.4,7.8,27.5,174,7.5,313,119
italy,ITA,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,89,89,-0.1,69,0.4,9.2,31,359,31.4,1539,103
jamaica,JAM,10990,2890,266.9,99,14262,1,5105.8,7.1,22.3,70.5,102,102,0.4,54.8,0.9,5.4,17.5,311,31,8,37
japan,JPN,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,96,97,-0.1,93.5,0.6,10.2,9.3,404,68.5,1114,146
jordan,JOR,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,134,135,4.9,83.7,3.8,7.5,15.4,113,1.1,7,47
kazakhstan,KAZ,2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,126,127,1.6,53.2,0.9,4.4,27.1,82,1.2,7091,193
kenya,KEN,591958,49700,87.3,98.8,63399,5.6,1376.7,32,19,49,126,126,2.7,25.6,4.3,5.7,19.4,480,7.7,750,20
kiribati,KIR,726,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,62.2,61,61,1.8,44.3,1.8,10.2,6.5,104,15,0,8
kuwait,KWT,17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,199,199,5.4,98.3,3.6,3,3.1,49,0.4,6941,380
kyrgyzstan,KGZ,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,108,110,1.6,35.7,1.6,6.5,19.2,44,3.4,80,27
lao people's democratic republic,LAO,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,193,186,1.3,38.6,4.9,1.9,27.5,209,80.5,72,12
latvia,LVA,64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,130,130,-1.2,67.4,-0.7,5.9,16,30,54,108,99
lebanon,LBN,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,95,95,6,87.8,3.2,6.4,3.1,87,13.4,7,55
lesotho,LSO,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,101,100,1.3,27.3,3,10.6,25,18,1.6,31,28
liberia,LBR,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,104,121,2.6,49.7,3.4,10,12.3,172,43.7,73,19
libya,LBY,1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32,113,114,0.2,78.6,1.1,5,16,63,0.1,1505,119
liechtenstein,LIE,160,38,237,98.4,6361,1.4,169491.8,0.7,40.1,59.2,102,102,0.8,14.3,0.5,,12,6,43.1,1,74
lithuania,LTU,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,125,125,-1.3,66.5,-0.5,6.6,21.3,26,34.8,74,98
luxembourg,LUX,2586,584,225.3,101,56802,3.5,100160.8,0.2,12.1,87.7,98,98,2.2,90.2,1.7,6.9,28.3,11,33.5,6,290
madagascar,MDG,587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,119,120,2.7,35.1,4.7,3,19.2,1324,21.5,129,7
malawi,MWI,118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,149,150,2.9,16.3,3.8,11.4,16.7,176,33.6,89,6
malaysia,MYS,330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,122,130,1.8,74.7,2.7,4.2,10.4,1272,67.5,3738,118
maldives,MDV,300,436,1454.4,131.8,3435,2.8,9446.5,3.1,22,74.9,65,65,2.8,45.5,4.5,13.7,5.9,75,3.3,0,54
mali,MLI,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,154,157,2.9,39.9,5.1,7,8.8,42,3.9,55,4
malta,MLT,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,96,96,0.5,95.4,0.5,9.7,12.5,39,1.1,1,78
marshall islands,MHL,181,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,73.3,115,115,0.2,72.7,0.6,17.1,9.1,101,70.2,0,27
martinique,MTQ,1128,385,363.1,83.5,,,,,,,78,78,-0.5,88.9,0.2,,,48,45.8,1,79
mauritania,MRT,1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,125,125,2.9,59.9,3.5,3.8,25.2,86,0.2,31,13
mauritius,MUS,1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,96,96,0.2,39.7,-0.1,4.8,11.6,257,19,10,51
mayotte,MYT,,253,674.8,96.7,,,,,,,,,2.8,47,1.9,,,88,16.1,0,19
mexico,MEX,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,120,120,1.4,79.2,1.6,6.3,42.6,1162,34,8514,62
"micronesia, federated states of",FSM,702,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,99,99,0.2,22.4,0.3,13.7,0,167,91.8,0,22
monaco,MCO,2,39,25969.8,94.7,6258,5.4,165870.6,,13.4,86.6,,,0.6,100,0.8,4.3,20.8,21,,,
mongolia,MNG,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,147,149,1.9,72,2.8,4.7,17.1,41,8.1,677,84
montenegro,MNE,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,66,66,0.1,64,0.3,6.4,23.5,98,61.5,29,64
montserrat,MSR,103,5,51.8,106,59,0.4,11553.4,1.4,12.7,85.9,103,103,0.7,9,0.7,,,55,25,,133
morocco,MAR,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,130,130,1.4,60.2,2.3,5.9,20.5,207,12.6,78,23
mozambique,MOZ,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,137,137,2.9,32.2,3.3,7,39.6,309,48.5,779,20
myanmar,MMR,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,130,128,0.9,34.1,2.5,2.3,10.2,321,45.3,1078,15
namibia,NAM,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,88,89,2.2,46.7,4.2,,41.3,115,8.5,19,31
nauru,NRU,21,11,568,101.9,189,18.7,18469.2,3,59.9,37.1,112,112,2.3,100,0.2,3.3,10.5,82,0,0,63
nepal,NPL,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,139,139,1.2,18.6,3.2,5.8,29.6,104,25.4,451,19
netherlands,NLD,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,115,115,0.3,90.5,1,10.9,38,40,11.1,2447,178
new caledonia,NCL,18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,102,103,1.4,70.2,2.2,,,526,45.9,1,215
new zealand,NZL,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,116,118,1.1,86.3,1,11,34.2,199,38.6,783,207
nicaragua,NIC,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,130,130,1.2,58.8,2,9,45.7,144,25.9,91,26
niger,NER,1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,148,148,3.8,18.7,5.1,6,17,34,0.9,101,5
nigeria,NGA,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,116,117,2.7,47.8,4.7,3.7,5.6,361,8.1,10851,32
niue,NIU,260,2,6.2,100,,,,,,,101,101,-0.1,42.5,-0.9,7.4,,52,70,0,62
northern mariana islands,MNP,457,55,119.9,107.1,,,,,,,,,0.1,89.2,0.4,,,102,64.5,,
norway,NOR,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,103,104,1.2,80.5,1.3,9.7,39.6,64,33.2,8204,233
oman,OMN,309500,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,47.3,134,134,6.5,77.6,8.5,3.6,1.2,99,,3101,239
pakistan,PAK,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,135,138,2.1,38.8,2.8,2.6,20.6,140,2,2202,17
palau,PLW,459,22,47.2,113.3,258,5.7,12122.5,3.8,8,88.2,,,0.8,87.1,1.7,9,12.5,182,87.6,,172
panama,PAN,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,117,118,1.7,66.6,2.1,8,18.3,383,62.3,31,35
papua new guinea,PNG,462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,84,83,2.2,13,2.1,4.3,2.7,493,74.1,114,22
